consumo (m3);mes;id_comuna
190416.20000000004;11;59
205604.33;12;59
956020.0;1;201
917646.0;2;201
927640.0;3;201
864286.0;4;201
883832.0;5;201
878347.0;6;201
864084.0;7;201
844198.0;8;201
854434.0;9;201
859217.0;10;201
871638.0;11;201
893156.0;12;201
40041.0;1;74
40204.0;2;74
40570.0;3;74
37264.0;4;74
33674.0;5;74
31546.0;6;74
37341.0;7;74
32725.0;8;74
34782.0;9;74
37626.0;10;74
34067.0;11;74
35822.0;12;74
102496.34999999998;1;157
98567.55;2;157
93348.89;3;157
93236.97;4;157
88941.07000000002;5;157
85970.98;6;157
83192.17000000001;7;157
78883.38;8;157
83656.25;9;157
88623.94;10;157
94581.81;11;157
99556.78;12;157
13606.01;1;203
18009.0;2;203
16972.0;3;203
11299.0;4;203
9680.0;5;203
9297.0;6;203
7762.0;7;203
8695.0;8;203
7841.0;9;203
10305.01;10;203
11699.01;11;203
10138.0;12;203
147500.14000000004;1;224
155661.02;2;224
155752.87000000002;3;224
136384.30000000002;4;224
134673.62000000002;5;224
136832.17000000004;6;224
134544.2;7;224
134193.36;8;224
125934.89999999998;9;224
134981.80000000005;10;224
131068.62;11;224
144393.6799999999;12;224
56210.26;1;20
55676.92;2;20
51175.98;3;20
52252.82;4;20
42826.86;5;20
42849.7;6;20
38749.72;7;20
38727.64;8;20
38304.16;9;20
48066.380000000005;10;20
48629.65000000001;11;20
54657.670000000006;12;20
69437.96;1;68
102858.87;2;68
108994.57;3;68
69667.78000000001;4;68
53562.83;5;68
41366.39000000001;6;68
36659.42;7;68
43373.57000000001;8;68
37863.43;9;68
48956.94;10;68
56229.8;11;68
60956.89;12;68
111217.22;1;173
101087.14;2;173
97782.46;3;173
99694.05;4;173
84134.43;5;173
85398.22;6;173
82388.76000000001;7;173
82507.20000000001;8;173
80513.31999999999;9;173
94166.25;10;173
102283.48;11;173
106448.11;12;173
28227.0;1;164
29848.0;2;164
24011.0;3;164
22070.0;4;164
22162.0;5;164
19955.0;6;164
18877.0;7;164
21493.0;8;164
20786.0;9;164
21099.0;10;164
23549.0;11;164
24903.0;12;164
111720.09;1;231
106277.00999999998;2;231
109115.86;3;231
100798.72;4;231
91772.84;5;231
95671.92;6;231
87476.51999999999;7;231
85627.15000000001;8;231
92248.47;9;231
91624.07;10;231
101362.91000000002;11;231
110950.02;12;231
631166.0;1;127
582971.0;2;127
579764.0;3;127
554380.0;4;127
580612.0;5;127
570746.0;6;127
578341.0;7;127
572447.0;8;127
571061.0;9;127
567131.0;10;127
565032.0;11;127
593084.0;12;127
62881.0;1;108
62844.0;2;108
59829.0;3;108
54174.0;4;108
53587.0;5;108
55558.0;6;108
51044.0;7;108
48478.0;8;108
51100.0;9;108
51328.0;10;108
54292.0;11;108
56367.0;12;108
1162921.2599999998;1;18
1176805.7000000002;2;18
1120583.12;3;18
1124948.9;4;18
1032455.81;5;18
961900.21;6;18
931825.22;7;18
885395.99;8;18
907418.2300000002;9;18
1015542.12;10;18
1083363.4900000002;11;18
1179316.19;12;18
54687.13999999999;1;29
58156.75;2;29
51222.78;3;29
52289.69;4;29
48890.630000000005;5;29
49303.75;6;29
49179.34999999999;7;29
49876.7;8;29
47973.82;9;29
49094.98;10;29
51056.77;11;29
53480.97;12;29
484528.11;1;25
469790.32;2;25
448114.7;3;25
462408.59;4;25
439510.63000000006;5;25
426166.4000000001;6;25
406326.81;7;25
380258.53;8;25
399352.4800000001;9;25
408436.2900000001;10;25
419432.13;11;25
464484.5;12;25
15418.0;1;49
15105.0;2;49
13789.0;3;49
13947.0;4;49
11775.0;5;49
11866.0;6;49
12015.0;7;49
11532.0;8;49
13066.0;9;49
10923.0;10;49
11939.0;11;49
14927.0;12;49
17212.0;1;160
17060.0;2;160
16695.0;3;160
13747.0;4;160
13728.0;5;160
13827.0;6;160
13027.0;7;160
13467.0;8;160
14613.0;9;160
13379.0;10;160
14271.0;11;160
16720.0;12;160
120648.04;1;208
128941.78;2;208
123400.15;3;208
122188.09;4;208
117091.81;5;208
115628.89;6;208
116076.97;7;208
99259.23;8;208
100045.69;9;208
113267.89;10;208
113849.94;11;208
119339.99;12;208
46025.0;1;51
47360.0;2;51
40234.0;3;51
36879.0;4;51
38178.0;5;51
35907.0;6;51
34361.0;7;51
34528.0;8;51
32841.0;9;51
36265.0;10;51
38735.0;11;51
38598.0;12;51
54298.0;1;13
53403.0;2;13
51931.0;3;13
43042.0;4;13
45541.0;5;13
43330.0;6;13
42840.0;7;13
42515.0;8;13
42230.0;9;13
44230.0;10;13
45591.0;11;13
47777.0;12;13
74356.8;1;218
71921.72000000002;2;218
73948.56;3;218
76033.8;4;218
76829.28000000001;5;218
68766.31;6;218
68102.27;7;218
61034.39000000001;8;218
71411.92;9;218
66257.75000000001;10;218
75967.14;11;218
74642.29999999999;12;218
19660.0;1;113
18773.0;2;113
18265.0;3;113
16455.0;4;113
16202.0;5;113
15212.15;6;113
13536.0;7;113
13415.0;8;113
13737.0;9;113
16816.0;10;113
15584.0;11;113
19122.0;12;113
165297.03999999998;1;215
171017.0;2;215
165205.02000000002;3;215
166004.0;4;215
154946.0;5;215
144808.0;6;215
141909.0;7;215
137582.01;8;215
139486.47;9;215
153761.0;10;215
160221.01;11;215
167595.01;12;215
167464.49;1;72
227104.96;2;72
215837.53000000003;3;72
139614.87;4;72
116615.09;5;72
94868.63;6;72
94534.48;7;72
98340.16;8;72
90717.47;9;72
102034.84;10;72
120000.79;11;72
127130.22;12;72
117713.96;1;155
120394.99;2;155
120025.02;3;155
109841.0;4;155
107068.03;5;155
97219.0;6;155
90084.09;7;155
93056.05;8;155
97913.02000000002;9;155
102346.97;10;155
94826.44;11;155
111676.88;12;155
90386.1;1;83
89742.38;2;83
89359.4;3;83
82920.87;4;83
76845.05;5;83
71580.65;6;83
71067.07;7;83
68910.64;8;83
68177.52;9;83
81227.87;10;83
83406.06;11;83
95368.35;12;83
75451.0;1;177
75277.0;2;177
68797.0;3;177
61057.0;4;177
59453.0;5;177
55934.0;6;177
55626.0;7;177
56837.0;8;177
55567.0;9;177
58077.0;10;177
62514.0;11;177
69687.0;12;177
467500.38;1;167
432598.78;2;167
424539.0;3;167
403549.0500000001;4;167
401191.76;5;167
362395.81;6;167
372841.2;7;167
323859.03;8;167
372928.33;9;167
381796.43000000005;10;167
386121.9599999999;11;167
434301.33;12;167
15542.0;1;75
15452.0;2;75
14073.0;3;75
14388.0;4;75
11542.0;5;75
12044.0;6;75
11452.0;7;75
10429.0;8;75
13469.0;9;75
11527.0;10;75
11724.0;11;75
15872.0;12;75
50438.98;1;30
48207.98;2;30
45749.43;3;30
46056.92999999999;4;30
43003.3;5;30
41313.98;6;30
39338.8;7;30
35791.99;8;30
38399.98;9;30
42690.88;10;30
43392.98;11;30
45138.75;12;30
32718.01;1;120
31229.99;2;120
32526.0;3;120
30424.99;4;120
26358.0;5;120
24641.99;6;120
25293.99;7;120
24951.0;8;120
24487.01;9;120
30044.0;10;120
29886.01;11;120
33971.990000000005;12;120
30868.0;1;139
30592.0;2;139
29676.0;3;139
27455.01;4;139
25398.0;5;139
23776.01;6;139
22593.0;7;139
23233.0;8;139
22027.01;9;139
28109.0;10;139
28311.0;11;139
31444.01;12;139
150229.79;1;101
142371.79;2;101
133087.78999999998;3;101
135225.5;4;101
126576.86;5;101
122577.18;6;101
123932.13000000002;7;101
116867.1;8;101
123204.35;9;101
135378.98;10;101
137484.22999999998;11;101
146353.34999999998;12;101
48667.0;1;5
55745.0;2;5
52230.0;3;5
50950.0;4;5
47301.0;5;5
41792.35;6;5
40956.0;7;5
40520.0;8;5
42748.01;9;5
43468.0;10;5
47566.0;11;5
49575.0;12;5
80182.95;1;189
80459.97;2;189
79653.97;3;189
67659.98;4;189
68000.98;5;189
65345.98000000001;6;189
64037.97;7;189
64982.97;8;189
59872.95;9;189
66577.98000000001;10;189
69838.98;11;189
69824.92;12;189
185286.0;1;45
170801.0;2;45
176052.0;3;45
164728.0;4;45
153660.0;5;45
158323.0;6;45
155279.0;7;45
150012.0;8;45
153961.0;9;45
160805.0;10;45
153189.0;11;45
160924.0;12;45
408335.3300000001;1;196
387013.4800000001;2;196
372142.0999999999;3;196
365823.72;4;196
338688.0800000001;5;196
316464.4000000001;6;196
303156.05999999994;7;196
295728.09;8;196
307137.4;9;196
324872.14;10;196
354416.91000000003;11;196
364856.71;12;196
104395.96;1;142
110220.28;2;142
106570.45;3;142
103804.04;4;142
100408.89;5;142
94384.61;6;142
91235.36;7;142
90109.32;8;142
93285.22;9;142
97475.36000000002;10;142
95468.71;11;142
99363.96;12;142
26082.0;1;26
29700.0;2;26
28346.0;3;26
26185.0;4;26
24833.0;5;26
23545.0;6;26
22920.0;7;26
22015.0;8;26
22181.0;9;26
24473.0;10;26
25665.0;11;26
24793.0;12;26
259157.55;1;159
263045.11;2;159
258532.29000000004;3;159
234271.17;4;159
233436.85;5;159
203551.24;6;159
217992.49;7;159
200572.09;8;159
211323.6;9;159
222158.98;10;159
227825.32;11;159
236999.08;12;159
12377.0;1;41
14768.79;2;41
13381.99;3;41
12304.0;4;41
11067.99;5;41
10937.99;6;41
9993.01;7;41
9635.01;8;41
10004.0;9;41
12013.99;10;41
12978.01;11;41
